"","geocoded_address","event_date","year","CSA2010"
"155","3100 FERNDALE AVE, BALTIMORE, MD, 21207","7/14/16",2016,"Howard Park/West Arlington"
"156","600 MAUDE AVE, BALTIMORE, MD, 21225","7/16/16",2016,"Brooklyn/Curtis Bay/Hawkins Point"
"157","1400 RETREAT ST, MD, 21217","7/16/16",2016,"Penn North/Reservoir Hill"
"158","700 MELLO CT, BALTIMORE, MD, 21205","7/18/16",2016,"Oldtown/Middle East"
"159","4800 MIDLINE ROAD, BALTIMORE, MD, 21206","7/18/16",2016,"Claremont/Armistead"
"160","3300 THE ALAMEDA, MD, 21218","7/18/16",2016,"The Waverlies"
"161","3400 OLD YORK ROAD, BALTIMORE, MD, 21218","7/19/16",2016,"The Waverlies"
"162","2200 N ROSEDALE ST, BALTIMORE, MD, 21216","7/19/16",2016,"Greater Mondawmin"
"163","3600 GARRISON BLVD, BALTIMORE, MD, 21215","7/21/16",2016,"Dorchester/Ashburton"
"164","300 N CARROLLTON AVE, BALTIMORE, MD, 21223","7/23/16",2016,"Poppleton/The Terraces/Hollins Market"
"165","900 N CAROLINE ST, BALTIMORE, MD, 21205","7/24/16",2016,"Oldtown/Middle East"
"166","600 N PULASKI ST, BALTIMORE, MD, 21217","7/24/16",2016,"Greater Rosemont"
"167","1500 LESLIE ST, BALTIMORE, MD, 21217","7/25/16",2016,"Sandtown-Winchester/Harlem Park"
"168","1000 E PATAPSCO AVE, BALTIMORE, MD, 21225","7/25/16",2016,"Brooklyn/Curtis Bay/Hawkins Point"
"169","2111 GARRISON BLVD, BALTIMORE, MD, 21216","7/26/16",2016,"Forest Park/Walbrook"
"170","3000 TIVOLY AVE, MD, 21218","7/28/16",2016,"Midway/Coldstream"
"171","2400 WASHINGTON BLVD, MD, 21230","7/28/16",2016,"Morrell Park/Violetville"
"172","100 E NORTH AVE, BALTIMORE, MD, 21202","7/28/16",2016,"Greater Charles Village/Barclay"
"173","5600 GOVANE AVE, BALTIMORE, MD, 21212","7/29/16",2016,"Chinquapin Park/Belvedere"
"174","300 N CARROLLTON AVE, BALTIMORE, MD, 21223","7/29/16",2016,"Poppleton/The Terraces/Hollins Market"
"175","2500 W FAYETTE ST, BALTIMORE, MD, 21223","8/3/16",2016,"Southwest Baltimore"
"176","1600 MCCULLOH ST, MD, 21217","8/4/16",2016,"Upton/Druid Heights"
"177","500 E 26TH ST, BALTIMORE, MD, 21218","8/5/16",2016,"Midway/Coldstream"
"178","2500 E MADISON ST, BALTIMORE, MD, 21205","8/7/16",2016,"Madison/East End"
"179","900 WHITELOCK ST, BALTIMORE, MD, 21217","8/10/16",2016,"Penn North/Reservoir Hill"
"180","2700 ASHLAND AVE, BALTIMORE, MD, 21205","8/10/16",2016,"Madison/East End"
"181","2200 KLOMAN ST, BALTIMORE, MD, 21230","8/10/16",2016,"Westport/Mount Winans/Lakeland"
"182","3900 CLARKS LN, BALTIMORE, MD, 21215","8/11/16",2016,"Glen-Fallstaff"
"183","2400 FREDERICK AVE, BALTIMORE, MD, 21223","8/12/16",2016,"Southwest Baltimore"
"184","1300 W LAFAYETTE AVE, BALTIMORE, MD, 21217","8/12/16",2016,"Sandtown-Winchester/Harlem Park"
"185","1100 WALTERS AVE, BALTIMORE, MD, 21239","8/12/16",2016,"Loch Raven"
"186","900 N MONROE ST, BALTIMORE, MD, 21217","8/15/16",2016,"Sandtown-Winchester/Harlem Park"
"187","1700 MALVERN ST, BALTIMORE, MD, 21224","8/17/16",2016,"Southeastern"
"188","101 FRANKLINTOWN ROAD, MD, 21223","8/17/16",2016,"Southwest Baltimore"
"189","200 S CALHOUN ST, BALTIMORE, MD, 21223","8/19/16",2016,"Southwest Baltimore"
"190","1 S MONASTERY AVE, BALTIMORE, MD, 21229","8/19/16",2016,"Allendale/Irvington/S. Hilton"
"191","200 BRIDGEVIEW ROAD, BALTIMORE, MD, 21225","8/20/16",2016,"Cherry Hill"
"192","5300 SINCLAIR LANE, MD, 21206","8/22/16",2016,"Cedonia/Frankford"
"193","2800 MAYFIELD AVE, BALTIMORE, MD, 21213","8/22/16",2016,"Belair-Edison"
"194","2400 BRENTWOOD AVE, BALTIMORE, MD, 21218","8/22/16",2016,"Greater Charles Village/Barclay"
"195","600 HILLVIEW ROAD, BALTIMORE, MD, 21225","8/24/16",2016,"Cherry Hill"
